country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Austria,Europe,8958960,0.22,19343,109,82409,19999,1.5,43.0,59.0,0.11,0.35160371322345996,6936440.0,8958960.0,1.2915789655788847
Azerbaijan,Asia,10412651,0.53,54577,126,82658,0,1.7,32.0,57.0,0.13,1.6503842585017905,3158966.0,10412651.0,3.2962212951959597
Bahamas,Latin America,412623,0.64,2639,41,10010,1000,1.4,33.0,85.0,0.01,2.2523276713957525,81644.0,412623.0,5.053929253833717
Bahrain,Asia,1485509,0.9,13276,1955,760,0,1.8,34.0,58.28888888888889,0.02,3.554323365317257,117149.0,1485509.0,12.680509436700271
Bangladesh,Asia,172954319,1.03,1767947,1329,130170,-309977,1.9,27.0,41.0,2.15,2.0375316758995408,39728535.0,172954319.0,4.3534028878739175
Barbados,Latin America,281995,0.13,360,656,430,-80,1.6,40.0,32.0,0.0,0.4016895798134946,210548.0,281995.0,1.33933829815529
Belarus,Europe,9498238,-0.39,-36716,47,202910,-4282,1.5,41.0,80.0,0.12,0.2531007308385256,7906860.0,9498238.0,1.2012654833903724
Belgium,Europe,11686140,0.26,30210,386,30280,23999,1.6,41.0,99.0,0.15,0.41836980687422043,8617344.0,11686140.0,1.356118544182523
Belize,Latin America,410825,1.37,5553,18,22810,600,2.0,26.0,48.0,0.01,2.473180920662422,69116.0,410825.0,5.943992707911337
Benin,Africa,13712828,2.7,359964,122,112760,-200,4.8,18.0,48.0,0.17,2.5006316868574476,2264452.0,13712828.0,6.055693827910682
Bermuda,North America,64069,-0.18,-115,1281,50,0,1.4,46.0,94.0,0.0,0.7520214008830448,37142.0,64069.0,1.7249744224866728
Bhutan,Asia,787424,0.64,4969,21,38117,300,1.4,29.0,49.0,0.01,2.080746961721508,176367.0,787424.0,4.464690106425805
Bolivia,Latin America,12388571,1.35,164461,11,1083300,-3000,2.5,24.0,69.0,0.15,1.9208650416081299,3089843.0,12388571.0,4.009449994708469
Bosnia and Herzegovina,Europe,3210847,-0.7,-22679,63,51000,-500,1.3,42.0,54.0,0.04,0.2587317094546597,2692907.0,3210847.0,1.1923349005368549
Botswana,Africa,2675352,1.71,45056,5,566730,3000,2.7,24.0,69.0,0.03,2.597497550480296,413481.0,2675352.0,6.47031423451138
Brazil,Latin America,216422446,0.52,1108948,26,8358140,6000,1.6,34.0,88.0,2.69,2.4895650428401965,37189369.0,223804632.0,6.017973362226178
British Virgin Islands,Latin America,31538,0.74,233,210,150,200,1.0,39.0,53.0,0.0,2.021522185812454,7358.0,31538.0,4.286219081272085
Brunei,Asia,452524,0.78,3522,86,5270,0,1.7,33.0,80.0,0.01,3.1253720525600706,48269.0,452524.0,9.375044024114857
Bulgaria,Europe,6687717,-1.39,-94236,62,108560,-4800,1.6,45.0,78.0,0.08,-0.09001549603279621,7157632.0,6687717.0,0.9343477004685349
Burkina Faso,Africa,23251485,2.55,577723,85,273600,-24998,4.6,17.0,32.0,0.29,2.369461731617516,4213757.0,23251485.0,5.517993799832311
Burundi,Africa,13238559,2.71,348983,516,25680,2000,4.9,16.0,15.0,0.16,2.4627704437037807,2254113.0,13238559.0,5.873068031638166
Cambodia,Asia,16944826,1.06,176984,96,176520,-29998,2.3,27.0,26.0,0.21,1.8854223217936021,4380380.0,16944826.0,3.8683461252220126
Cameroon,Africa,28647293,2.63,732757,61,472710,-4800,4.3,18.0,58.0,0.36,2.627784252707796,4315816.0,28647293.0,6.637746604581845
Canada,North America,38781291,0.85,326964,4,9093510,249746,1.5,41.0,81.0,0.48,1.4329795292096978,13743069.0,38781291.0,2.8218799600002007
Cape Verde,Africa,598682,0.93,5533,149,4030,-1227,1.9,27.0,67.0,0.01,1.6247232890846175,184999.0,598682.0,3.2361364115481703
Caribbean Netherlands,Latin America,27148,0.45,122,83,328,100,1.6,40.0,74.0,0.0,1.8821303474511777,6989.0,27148.0,3.884389755329804
Cayman Islands,Latin America,69310,0.88,604,289,240,400,1.2,38.0,95.0,0.0,3.2171474280940497,6912.0,69310.0,10.027488425925926
Central African Republic,Africa,5742315,2.92,163171,9,622980,-14716,5.8,15.0,40.0,0.07,1.9185098364481472,1436591.0,5742315.0,3.9971815220894467
Chad,Africa,18278568,3.13,555253,15,1259200,-2000,6.1,15.0,24.0,0.23,2.7608264846203685,2512688.0,18278568.0,7.274507618932394
Chile,Latin America,19629590,0.13,25857,26,743532,-71205,1.5,36.0,85.0,0.24,1.5001839118792257,6623645.0,19629590.0,2.9635631136632474
China,Asia,1425671352,-0.02,-215985,152,9388211,-310220,1.2,39.0,65.0,17.72,1.3317026770558071,543979233.0,1425671352.0,2.6208194458776335
Colombia,Latin America,52085168,0.41,211144,47,1109500,-175051,1.7,32.0,81.0,0.65,2.06068904738135,11769748.0,52085168.0,4.425342666639931
Comoros,Africa,852075,1.83,15301,458,1861,-2000,3.8,20.0,33.0,0.01,2.3026623425470776,161814.0,852075.0,5.2657681041195445
Congo,Africa,6106869,2.29,136445,18,341500,-1000,4.0,18.0,70.0,0.08,2.7641027746908593,835132.0,6106869.0,7.31245958722693
Cook Islands,Oceania,17044,0.19,33,71,240,-93,2.2,33.0,79.0,0.0,0.22030891557983542,14683.0,17044.0,1.1607982020023155
Costa Rica,Latin America,5212173,0.6,31344,102,51060,3750,1.5,34.0,82.0,0.06,2.365661481754717,948487.0,5212173.0,5.495249803107475
Côte d'Ivoire,Africa,28873034,2.53,712492,91,318000,6000,4.3,18.0,52.0,0.36,3.282765455336891,2736909.0,28873034.0,10.54950456884025
Croatia,Europe,4008617,-0.54,-21741,72,55960,-2000,1.4,44.0,59.0,0.05,0.052228360733357355,3864691.0,4008617.0,1.0372412697418758
Cuba,Latin America,11194449,-0.16,-17742,105,106440,-6000,1.5,41.0,80.0,0.14,0.8782938837240878,5926645.0,11194449.0,1.888834070540753
Curaçao,Latin America,192077,0.48,914,433,444,515,1.6,36.0,77.0,0.0,0.907978822415406,100067.0,192077.0,1.9194839457563433
Cyprus,Asia,1260138,0.69,8650,136,9240,5000,1.3,39.0,65.0,0.02,1.2927234096686462,493956.0,1260138.0,2.55111386439278
Czech Republic (Czechia),Europe,10495295,0.01,1309,136,77240,22011,1.7,43.0,75.0,0.13,0.22393079966505713,8916634.0,10495295.0,1.1770467420777841
Democratic Republic of the Congo,Africa,5910913,0.49,28652,139,42430,19999,1.7,41.0,88.0,0.07,2.9455880616279453,12295745.0,102262808.0,8.3169265465411
Denmark,Europe,1136455,1.39,15606,49,23180,900,2.7,24.0,72.0,0.01,0.44745171912226495,4267694.0,5910913.0,1.3850367434966049
